rank,score,title,domain,url,notes
1,95,Spark Good Local Grants Guidelines - Walmart Foundation,walmart.org,https://www.walmart.org/how-we-give/program-guidelines/spark-good-local-grants-guidelines,FL/PBC geography match; clear eligibility; open application path; civic/community alignment; org-structure clarity; award clarity
2,95,Public Humanities Program Grants,floridahumanities.org,https://floridahumanities.org/funding-opportunities/public-humanities-program-grants/,FL/PBC geography match; clear eligibility; open application path; civic/community alignment; org-structure clarity; award clarity
3,95,Impact 100 Palm Beach County: Home,impact100pbc.org,https://www.impact100pbc.org/,FL/PBC geography match; clear eligibility; open application path; civic/community alignment; org-structure clarity; award clarity
4,85,[PDF] Grant Lists and Information FY 2024 - 2025,files.floridados.gov,https://files.floridados.gov/media/708203/dos-grant-booklet-2024-25.pdf,FL/PBC geography match; clear eligibility; open application path; civic/community alignment; award clarity
5,85,Civic Engagement and Education Teacher Microgrants,floridacitizen.org,https://floridacitizen.org/civic-engagement-and-education-teacher-microgrants/,FL/PBC geography match; clear eligibility; open application path; civic/community alignment; award clarity
6,85,Nonprofit Resources - United Way of Palm Beach County,unitedwaypbc.org,https://unitedwaypbc.org/nonprofit-resources,FL/PBC geography match; clear eligibility; open application path; civic/community alignment; org-structure clarity
7,85,Palm Beach Community Trust Fund – Foundation Grants - Wells Fargo,wellsfargo.com,https://www.wellsfargo.com/private-foundations/palm-beach-community-trust-fund/,FL/PBC geography match; clear eligibility; open application path; civic/community alignment; org-structure clarity
8,80,Grantmaking for Nonprofits - Community Foundation for Palm Beach ...,yourcommunityfoundation.org,https://yourcommunityfoundation.org/grantmaking-for-nonprofits/,FL/PBC geography match; open application path; civic/community alignment; org-structure clarity; award clarity
9,80,Community Foundation for Palm Beach and Martin Counties: Home,yourcommunityfoundation.org,https://yourcommunityfoundation.org/,FL/PBC geography match; open application path; civic/community alignment; org-structure clarity; award clarity
10,80,Grantmaking Process - Community Foundation for Palm Beach and ...,yourcommunityfoundation.org,https://yourcommunityfoundation.org/the-competitive-grantmaking-process/,FL/PBC geography match; open application path; civic/community alignment; org-structure clarity; award clarity
11,80,Frederick A. DeLuca Foundation Awards $8.4 Million Grant to the ...,pressconnects.com,https://www.pressconnects.com/press-release/story/34770/frederick-a-deluca-foundation-awards-8-4-million-grant-to-the-community-foundation-for-palm-beach-and-martin-counties/,FL/PBC geography match; open application path; civic/community alignment; org-structure clarity; award clarity
12,80,Grants & Scholarships - Community Foundation for Palm Beach and ...,yourcommunityfoundation.org,https://yourcommunityfoundation.org/grants-scholarship/,FL/PBC geography match; open application path; civic/community alignment; org-structure clarity; award clarity
13,80,Grants and Funding Opportunities - Florida Literacy Coalition,floridaliteracy.org,https://floridaliteracy.org/grants_and_funding__funders.html,FL/PBC geography match; clear eligibility; open application path; civic/community alignment; org-structure clarity; award clarity; invite-only risk
14,80,Florida Grant Resources | The Grantsmanship Center,tgci.com,https://www.tgci.com/funding-sources/florida,FL/PBC geography match; open application path; civic/community alignment; org-structure clarity; award clarity
15,70,The Vote Miami Microgrant Program,votemiami.org,https://votemiami.org/micro-grant/,FL/PBC geography match; clear eligibility; civic/community alignment; org-structure clarity
