name,organization,role,segment,relationship_strength(1-5),likelihood_to_buy_or_recommend(1-5),last_contact_date,next_action,owner,status
CONTACT_01,, ,educator,, , ,Personalize and send outreach,Nick,pending
CONTACT_02,, ,educator,, , ,Personalize and send outreach,Nick,pending
CONTACT_03,, ,librarian,, , ,Personalize and send outreach,Nick,pending
CONTACT_04,, ,school_board,, , ,Personalize and send outreach,Nick,pending
CONTACT_05,, ,civic_tech,, , ,Personalize and send outreach,Nick,pending
CONTACT_06,, ,civic_tech,, , ,Personalize and send outreach,Nick,pending
CONTACT_07,, ,educator,, , ,Personalize and send outreach,Nick,pending
CONTACT_08,, ,educator,, , ,Personalize and send outreach,Nick,pending
CONTACT_09,, ,librarian,, , ,Personalize and send outreach,Nick,pending
CONTACT_10,, ,school_board,, , ,Personalize and send outreach,Nick,pending
CONTACT_11,, ,civic_tech,, , ,Personalize and send outreach,Nick,pending
CONTACT_12,, ,civic_tech,, , ,Personalize and send outreach,Nick,pending
CONTACT_13,, ,educator,, , ,Personalize and send outreach,Nick,pending
CONTACT_14,, ,educator,, , ,Personalize and send outreach,Nick,pending
CONTACT_15,, ,librarian,, , ,Personalize and send outreach,Nick,pending
CONTACT_16,, ,school_board,, , ,Personalize and send outreach,Nick,pending
CONTACT_17,, ,civic_tech,, , ,Personalize and send outreach,Nick,pending
CONTACT_18,, ,civic_tech,, , ,Personalize and send outreach,Nick,pending
CONTACT_19,, ,educator,, , ,Personalize and send outreach,Nick,pending
CONTACT_20,, ,educator,, , ,Personalize and send outreach,Nick,pending
CONTACT_21,, ,librarian,, , ,Personalize and send outreach,Nick,pending
CONTACT_22,, ,school_board,, , ,Personalize and send outreach,Nick,pending
CONTACT_23,, ,civic_tech,, , ,Personalize and send outreach,Nick,pending
CONTACT_24,, ,civic_tech,, , ,Personalize and send outreach,Nick,pending
CONTACT_25,, ,educator,, , ,Personalize and send outreach,Nick,pending
CONTACT_26,, ,educator,, , ,Personalize and send outreach,Nick,pending
CONTACT_27,, ,librarian,, , ,Personalize and send outreach,Nick,pending
CONTACT_28,, ,school_board,, , ,Personalize and send outreach,Nick,pending
CONTACT_29,, ,civic_tech,, , ,Personalize and send outreach,Nick,pending
CONTACT_30,, ,civic_tech,, , ,Personalize and send outreach,Nick,pending
