org_name,email,contact_name,title,subject,email_body
Mandel Public Library of West Palm Beach,info@wpbcitylibrary.org,TBD,Library Director,Custom AI Workshop for Mandel Public Library of West Palm Beach (West Palm Beach),"Hello Library Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Mandel Public Library of West Palm Beach stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Mandel Public Library of West Palm Beach:
- Emphasize AI literacy for public service staff and patron education programs.
- Main city library with robust programming. Strong candidate for AI literacy workshops.

If helpful, I can send a one-page agenda with outcomes tailored for your library director priorities in West Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Palm Beach County Library System - Main Library,dcrane@pbcgov.org,Doug Crane,Library Director,Custom AI Workshop for Palm Beach County Library System - Main Library (West Palm Beach),"Hi Doug,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Palm Beach County Library System - Main Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Palm Beach County Library System - Main Library:
- Offer pilot program at main branch with option to scale across 17-branch system.
- County-wide system with 17 locations. High impact potential for system-wide AI training.

If helpful, I can send a one-page agenda with outcomes tailored for your library director priorities in West Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Boca Raton Public Library,library@myboca.us,Ann Nappa,Library Services Manager,Custom AI Workshop for Boca Raton Public Library (Boca Raton),"Hi Ann,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Boca Raton Public Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Boca Raton Public Library:
- Position as premium professional development for staff serving tech-forward community.
- Affluent community with strong tech interest. Spanish River Library branch also available.

If helpful, I can send a one-page agenda with outcomes tailored for your library director priorities in Boca Raton.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Delray Beach Public Library,director@delraylibrary.org,TBD,Library Director,Custom AI Workshop for Delray Beach Public Library (Delray Beach),"Hello Library Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Delray Beach Public Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Delray Beach Public Library:
- AI workshops for small business support (Delray has strong Main Street program).
- Vibrant downtown location with active programming calendar.

If helpful, I can send a one-page agenda with outcomes tailored for your library director priorities in Delray Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Boynton Beach City Library,library@bbfl.us,TBD,Library Director,Custom AI Workshop for Boynton Beach City Library (Boynton Beach),"Hello Library Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Boynton Beach City Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Boynton Beach City Library:
- Bilingual AI workshop options for diverse staff and patron base.
- Growing city with diverse population. Strong community engagement focus.

If helpful, I can send a one-page agenda with outcomes tailored for your library director priorities in Boynton Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Lake Worth Beach Public Library,library@lakeworthbeachfl.gov,TBD,Library Director,Custom AI Workshop for Lake Worth Beach Public Library (Lake Worth Beach),"Hello Library Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Lake Worth Beach Public Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Lake Worth Beach Public Library:
- AI for creative professionals - marketing, design, writing applications.
- Very close to West Palm. Artsy community with creative professionals who need AI skills.

If helpful, I can send a one-page agenda with outcomes tailored for your library director priorities in Lake Worth Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Greenacres Public Library,library@greenacresfl.gov,TBD,Library Director,Custom AI Workshop for Greenacres Public Library (Greenacres),"Hello Library Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Greenacres Public Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Greenacres Public Library:
- AI literacy for family services and youth programming staff.
- Suburban community library with family-focused programming.

If helpful, I can send a one-page agenda with outcomes tailored for your library director priorities in Greenacres.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Royal Palm Beach Branch Library,rpbranch@pbclibrary.org,TBD,Branch Manager,Custom AI Workshop for Royal Palm Beach Branch Library (Royal Palm Beach),"Hello Branch Manager Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Royal Palm Beach Branch Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Royal Palm Beach Branch Library:
- Coordinate through county system - mention main library pilot.
- Part of county system. Family-oriented community.

If helpful, I can send a one-page agenda with outcomes tailored for your branch manager priorities in Royal Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Wellington Branch Library,wellington@pbclibrary.org,TBD,Branch Manager,Custom AI Workshop for Wellington Branch Library (Wellington),"Hello Branch Manager Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Wellington Branch Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Wellington Branch Library:
- Professional development angle for staff serving educated community.
- Equestrian community with affluent, educated population.

If helpful, I can send a one-page agenda with outcomes tailored for your branch manager priorities in Wellington.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Jupiter Branch Library,jupiter@pbclibrary.org,TBD,Branch Manager,Custom AI Workshop for Jupiter Branch Library (Jupiter),"Hello Branch Manager Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Jupiter Branch Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Jupiter Branch Library:
- AI for small business and professional services (Jupiter has many small businesses).
- Northern Palm Beach County hub. Active senior and professional population.

If helpful, I can send a one-page agenda with outcomes tailored for your branch manager priorities in Jupiter.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Palm Beach Gardens Library,library@pbgfl.com,TBD,Library Director,Custom AI Workshop for Palm Beach Gardens Library (Palm Beach Gardens),"Hello Library Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Palm Beach Gardens Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Palm Beach Gardens Library:
- AI for community services and municipal efficiency.
- Municipal library in affluent planned community.

If helpful, I can send a one-page agenda with outcomes tailored for your library director priorities in Palm Beach Gardens.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Lantana Public Library,library@lantanafld.org,TBD,Library Director,Custom AI Workshop for Lantana Public Library (Lantana),"Hello Library Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Lantana Public Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Lantana Public Library:
- Cost-effective AI training for small library staff.
- Small municipal library with community focus.

If helpful, I can send a one-page agenda with outcomes tailored for your library director priorities in Lantana.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
