Prospect_ID,Full_Name,Primary_Affiliation,Current_or_Former_Title,Category,Region,Profile_Fit,Strategic_Value,Potential_Role,Public_Profile_URL,Outreach_Channel,Priority,Tier,Status,Notes
SF-001,Jeanette M. Nuñez,Florida International University,President (former Lieutenant Governor of Florida),FIU + Former Official,Miami,"Higher-ed executive + statewide policy background",Statewide credibility and policy network,Board Member,https://www.fiu.edu/about/leadership/,Warm intro via FIU leadership circles,High,A,Research,"Strong fit for governance + public sector relationships"
SF-002,Kenneth A. Jessell,Florida International University,President,FIU,Miami,"University governance and community partnerships",Institutional partnerships + student pipeline,Advisory Board,https://www.fiu.edu/about/leadership/,Institutional outreach,High,A,Research,"Current sitting president; may prefer advisory role"
SF-003,Mark B. Rosenberg,Florida International University,President Emeritus (former President),FIU + Former Academic Leader,Miami,"Long-range institutional strategy",Higher-ed + philanthropic network,Board Member,https://president.fiu.edu/,Warm intro through FIU alumni/foundation,Medium,B,Research,"Verify current engagement availability"
SF-004,Modesto A. Maidique,Florida International University,President Emeritus (former President),FIU + Former Academic Leader,Miami,"Foundational institution-building experience",Legacy credibility + fundraising relationships,Honorary Advisor,https://www.fiu.edu/about/history/,Warm intro via FIU foundation,Medium,B,Research,"High prestige, likely limited operating bandwidth"
SF-005,Elizabeth M. Béjar,Florida International University,Provost / Executive VP,FIU,Miami,"Academic operations + innovation",Execution rigor + faculty ecosystem access,Advisory Board,https://provost.fiu.edu/,Institutional outreach,Medium,B,Research,"Strong operating perspective"
SF-006,Stacy Volnick,Florida Atlantic University,Interim President (former COO),FAU,Boca Raton,"Operational leadership in large university system",South Florida institutional partnerships,Board Member,https://www.fau.edu/president/,Warm intro via FAU relations,High,A,Research,"Good fit for execution and partnerships"
SF-007,John W. Kelly,Florida Atlantic University,President Emeritus (former President),FAU + Former Academic Leader,Boca Raton,"University governance + external affairs",Board governance maturity + donor network,Board Member,https://www.fau.edu/president/,Warm intro via FAU advancement,High,A,Research,"Likely strong board governance value"
SF-008,Daniel C. Flynn,Florida Atlantic University,VP for Research,FAU,Boca Raton,"Research commercialization + grants",Grant strategy and innovation positioning,Advisory Board,https://www.fau.edu/research/,Institutional outreach,Medium,B,Research,"Useful for federal/state funding strategy"
SF-009,Ava L. Parker,Palm Beach State College,President,Palm Beach State College,Lake Worth,"Community college leadership + workforce focus",Regional community impact + education pathways,Board Member,https://www.palmbeachstate.edu/president/,Institutional outreach,High,A,Research,"Strong local credibility and mission alignment"
SF-010,Dennis P. Gallon,Palm Beach State College,President Emeritus (former President),Palm Beach State College + Former Academic Leader,Palm Beach County,"College system leadership",Community and donor relationships,Advisory Board,https://www.palmbeachstate.edu/,Warm intro through PBSC network,Medium,B,Research,"Verify current board commitments"
SF-011,Madeline Pumariega,Miami Dade College,President,Other Institution,Miami,"Large-scale education administration",Massive student-impact and civic network,Board Member,https://www.mdc.edu/president/,Institutional outreach,High,A,Research,"Strong systems operator; very relevant"
SF-012,George L. Hanbury II,Nova Southeastern University,President and CEO,Other Institution,Broward,"Private higher-ed executive experience",Cross-sector partnerships + donor access,Board Member,https://www.nova.edu/president/,Warm intro via regional philanthropy,Medium,B,Research,"Potentially strong philanthropy bridge"
SF-013,Santa J. Ono,University of Michigan (former University of Florida President),Former UF President,Former Academic Leader,Florida/US,"Flagship university leadership",National credibility + higher-ed policy perspective,Advisory Board,https://president.umich.edu/,Professional outreach via office,Medium,B,Research,"Former Florida higher-ed leadership; national profile"
SF-014,Marshall M. Criser III,University of Florida Board of Trustees (former Chancellor, SUS Florida),Former State University System Chancellor,Former Official + Higher Ed,Florida,"System-level governance",Statewide higher-ed policy and governance expertise,Board Member,https://www.flbog.edu/,Warm intro via state higher-ed circles,Medium,B,Research,"Good policy/governance fit"
SF-015,Betty Castor,University of South Florida (former President; former Florida Commissioner of Education),Former USF President + Former Commissioner,Former Official + Higher Ed,Florida,"Education policy and institutional leadership",Education reform credibility,Honorary Advisor,https://www.usf.edu/,Professional outreach,Low,C,Research,"High prestige candidate; verify availability"
SF-016,Ted Deutch,American Jewish Committee (former U.S. Congressman, FL-22),Former U.S. Representative,Former Official,Boca Raton,"Policy, coalition building, public trust",National policy and bipartisan credibility,Board Member,https://www.ajc.org/,Warm intro via civic leaders,High,A,Research,"Strong governance and policy network"
