rank,title,url,score,new_nonprofit_friendly,fiscal_sponsor,501c3,deadline,award_range,go_no_go
1,Spark Good Local Grants Guidelines - Walmart Foundation,https://www.walmart.org/how-we-give/program-guidelines/spark-good-local-grants-guidelines,95,Unclear,Unclear,Required/Preferred,Unclear,"$250 to $5,000",Go
2,Public Humanities Program Grants,https://floridahumanities.org/funding-opportunities/public-humanities-program-grants/,95,Unclear,Mentioned,Required/Preferred,"Due to current funding limitations, we are not able to accept direct applications from colleges and universities or their v","Up to $10,000",Go
3,Impact 100 Palm Beach County: Home,https://www.impact100pbc.org/,95,Unclear,Unclear,Required/Preferred,Unclear,Unclear,Go
4,[PDF] Grant Lists and Information FY 2024 - 2025,https://files.floridados.gov/media/708203/dos-grant-booklet-2024-25.pdf,85,Unclear,Unclear,Unclear,"deadline was June 21, 2023",up to $2,Go
5,Civic Engagement and Education Teacher Microgrants,https://floridacitizen.org/civic-engagement-and-education-teacher-microgrants/,85,Unclear,Unclear,Unclear,"Deadline: November 10, 2025",up to $500,Go
6,Nonprofit Resources - United Way of Palm Beach County,https://unitedwaypbc.org/nonprofit-resources,85,Unclear,Unclear,Required/Preferred,Deadline:**,Unclear,Go
7,Palm Beach Community Trust Fund – Foundation Grants - Wells Fargo,https://www.wellsfargo.com/private-foundations/palm-beach-community-trust-fund/,85,Unclear,Unclear,Required/Preferred,deadlines,"$4,500 to $30,000",Go
8,Grantmaking for Nonprofits - Community Foundation for Palm Beach ...,https://yourcommunityfoundation.org/grantmaking-for-nonprofits/,80,Unclear,Unclear,Required/Preferred,Unclear,"up to $75,000",Go
9,Community Foundation for Palm Beach and Martin Counties: Home,https://yourcommunityfoundation.org/,80,Unclear,Unclear,Required/Preferred,Unclear,Awards $8,Go
10,Grantmaking Process - Community Foundation for Palm Beach and ...,https://yourcommunityfoundation.org/the-competitive-grantmaking-process/,80,Unclear,Unclear,Required/Preferred,"deadline is Friday, December 19, 2025, at 5 p",Unclear,Go
